undrr_2025_key,undrr_key,label,cluster_label,family_label,glide_code,emdat_key
MH0404,MH0036,Hail,Precipitation-related,Meteorological & Hydrological,ST,nat-met-sto-hai
MH0405,MH0038,Snow,Precipitation-related,Meteorological & Hydrological,OT,
MH0406,MH0039,Snow Storm,Precipitation-related,Meteorological & Hydrological,OT,
MH0501,MH0047,Heatwave,Temperature-related,Meteorological & Hydrological,HT,nat-met-ext-hea
MH0502,MH0040,Cold Wave,Temperature-related,Meteorological & Hydrological,CW,nat-met-ext-col
MH0503,MH0041,Dzud,Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0504,MH0042,Freeze,Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0505,MH0043,Frost (Hoar Frost),Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0506,MH0044,Freezing Rain (Supercooled Rain),Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0507,MH0045,Glaze,Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0508,MH0046,Ground Frost,Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0509,MH0048,Icing (Including Ice),Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0510,MH0049,Thaw,Temperature-related,Meteorological & Hydrological,OT,nat-met-ext-sev
MH0600,,Flooding,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-flo
MH0601,MH0004,Coastal Flooding,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-coa
MH0602,MH0005,Estuarine (Coastal) Flooding,Water-related,Meteorological & Hydrological,OT,
MH0603,MH0006,Flash Flooding,Water-related,Meteorological & Hydrological,FF,nat-hyd-flo-fla
MH0604,MH0007,Fluvial (Riverine) Flooding,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-riv
MH0605,MH0008,Groundwater Flooding,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-flo
MH0606,MH0012,Surface water Flooding,Water-related,Meteorological & Hydrological,OT,
MH0607,MH0013,Glacial Lake Outburst Flooding,Water-related,Meteorological & Hydrological,FL,nat-cli-glo-glo
MH0608,MH0009,Ice-Jam Flooding Including Debris,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-ice
MH0609,MH0010,Ponding (Drainage) Flooding,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-flo
MH0610,MH0011,Snowmelt Flooding,Water-related,Meteorological & Hydrological,FL,nat-hyd-flo-flo
MH0701,MH0022,Rogue Wave,Marine-related,Meteorological & Hydrological,OT,nat-hyd-wav-rog
MH0702,MH0026,Seiche,Marine-related,Meteorological & Hydrological,OT,nat-hyd-wav-sei
MH0703,MH0027,Storm Surge,Marine-related,Meteorological & Hydrological,SS,nat-met-sto-sur
MH0704,MH0028,Storm Tides,Marine-related,Meteorological & Hydrological,,
MH0705,MH0029,Tsunami,Marine-related,Meteorological & Hydrological,TS,nat-geo-ear-tsu
MH0706,MH0024,Sea ice,Marine-related,Meteorological & Hydrological,OT,
MH0707,MH0025,Ice flow,Marine-related,Meteorological & Hydrological,OT,
MH0708,,Marine Heatwave,Marine-related,Meteorological & Hydrological,OT,
MH0801,MH0050,Avalanche,Terrestrial,Meteorological & Hydrological,AV,nat-geo-mmd-ava
MH0801,MH0050,Avalanche,Terrestrial,Meteorological & Hydrological,AV,nat-hyd-mmw-ava
ET0101,ET0002,Geomagnetic Disturbance,Space Weather,Extraterrestrial,OT,nat-ext-spa-geo
ET0102,ET0005,Ionospheric Disturbance,Space Weather,Extraterrestrial,OT,
ET0103,ET0006,Solar Flare,Space Weather,Extraterrestrial,OT,nat-ext-spa-rad
ET0104,ET0007,Solar Energetic Particles,Space Weather,Extraterrestrial,OT,nat-ext-spa-ene
ET0104,ET0007,Solar Energetic Particles,Space Weather,Extraterrestrial,OT,
ET0201,ET0001,Airburst,Extraterrestrial Hazard,Extraterrestrial,OT,nat-ext-imp-air
ET0202,ET0003,UV Radiation,Extraterrestrial Hazard,Extraterrestrial,OT,
ET0203,ET0004,Meteorite Impact,Extraterrestrial Hazard,Extraterrestrial,OT,nat-ext-imp-col
ET0204,ET0008,Space Hazard / Accident,Extraterrestrial Hazard,Extraterrestrial,OT,nat-ext-spa-sho
ET0205,ET0009,Near-Earth Object,Extraterrestrial Hazard,Extraterrestrial,OT,
ET0206,,Space Debris,Extraterrestrial Hazard,Extraterrestrial,OT,
GH0101,GH0001,Earthquake,Seismic,Geological,EQ,nat-geo-ear-gro
GH0201,GH0009,Lava Flows (Lava Domes),Volcanic,Geological,VO,nat-geo-vol-lav
GH0201,GH0009,Lava Flows (Lava Domes),Volcanic,Geological,VO,nat-geo-vol-vol
GH0202,GH0010,Ash/Tephra Fall (including Volcanic Ballistic projectiles),Volcanic,Geological,VO,nat-geo-vol-ash
GH0203,GH0012,Pyroclastic Density Current,Volcanic,Geological,VO,nat-geo-vol-pyr
GH0204,GH0013,Lahars,Volcanic,Geological,VO,nat-geo-vol-lah
GH0205,GH0016,Volcanic Gases and Aerosols,Volcanic,Geological,,
GH0300,,Gravitational Mass Movement (Landslide),Ground Failure,Geological,LS,nat-geo-mmd-lan
GH0301,,Falls,Ground Failure,Geological,OT,
GH0302,,Spreads,Ground Failure,Geological,OT,
GH0303,MH0051,Flows,Ground Failure,Geological,MS,nat-hyd-mmw-mud
GH0304,,Slides,Ground Failure,Geological,LS,nat-hyd-mmw-lan
GH0304,,Slides,Ground Failure,Geological,OT,
GH0305,,Topples,Ground Failure,Geological,OT,
GH0306,,Submarine Landslide,Ground Failure,Geological,OT,
GH0307,GH0003,Liquefaction,Ground Failure,Geological,EQ,nat-geo-ear-gro
GH0308,GH0026,Sinkhole,Ground Failure,Geological,OT,nat-geo-mmd-sub
GH0309,GH0005,Subsidence and Uplift,Ground Failure,Geological,EQ,nat-geo-ear-gro
GH0310,GH0025,Shrink-Swell Subsidence,Ground Failure,Geological,OT,
GH0311,GH0004,Surface Rupture & Fissure,Ground Failure,Geological,EQ,nat-geo-ear-gro
GH0401,,Compressive Soils,Other Hazards,Geological,OT,
GH0402,,Soil Degradation,Other Hazards,Geological,OT,
GH0403,,Soil Erosion,Other Hazards,Geological,OT,nat-geo-env-soi
GH0404,GH0028,River Erosion & Accretion,Other Hazards,Geological,OT,
GH0405,,Coastal Erosion & Accretion,Other Hazards,Geological,OT,nat-geo-env-sed
GH0406,GH0029,Sand Encroachment,Other Hazards,Geological,OT,
GH0407,GH0008,"Ground Gases (CH4, Rn, etc.)",Other Hazards,Geological,OT,
EN0101,,Household Air Pollution,Environmental Degradation,Environmental,OT,
EN0102,,Air Pollution (Point Source),Environmental Degradation,Environmental,OT,
EN0103,MH0018,Ambient (Outdoor) Air Pollution,Environmental Degradation,Environmental,OT,
EN0104,MH0014,Black Carbon,Environmental Degradation,Environmental,OT,
EN0105,MH0033,Acid Rain,Environmental Degradation,Environmental,OT,
EN0106,,Runoff / Nonpoint Source Pollution,Environmental Degradation,Environmental,OT,
EN0201,,Deforestation,Environmental Degradation,Environmental,OT,
EN0202,,Forest Declines and Diebacks,Environmental Degradation,Environmental,OT,
EN0203,,Forest Disturbances,Environmental Degradation,Environmental,OT,
EN0204,,Forest Invasive Species,Environmental Degradation,Environmental,OT,
EN0205,EN0013,Wildfires,Environmental Degradation,Environmental,WF,nat-cli-wil-for
EN0205,EN0013,Wildfires,Environmental Degradation,Environmental,WF,nat-cli-wil-lan
EN0205,EN0013,Wildfires,Environmental Degradation,Environmental,WF,nat-cli-wil-wil
EN0206,,Desertification,Environmental Degradation,Environmental,OT,nat-geo-env-des
EN0207,,Loss of Mangroves,Environmental Degradation,Environmental,OT,
EN0301,,Land Degradation,Environmental Degradation,Environmental,OT,
EN0302,MH0023,Seawater intrusion,Environmental Degradation,Environmental,OT,
EN0303,,Salinity & Sodicity,Environmental Degradation,Environmental,OT,nat-geo-env-slr
EN0304,,Wetland Loss/Degradation,Environmental Degradation,Environmental,OT,
EN0305,,Permafrost Loss,Environmental Degradation,Environmental,OT,
EN0401,MH0021,Ocean Acidification,Environmental Degradation,Environmental,OT,
EN0402,,Sea Level Rise,Environmental Degradation,Environmental,OT,
EN0403,,Eutrophication,Environmental Degradation,Environmental,OT,
EN0404,,Coral Bleaching,Environmental Degradation,Environmental,OT,
EN0405,,Sand Mining,Environmental Degradation,Environmental,OT,
EN0501,,Biodiversity Loss,Environmental Degradation,Environmental,OT,
CH0100,,Heavy Metals & Trace Elements,Heavy Metals & Trace Element Contaminants,Chemical,OT,
CH0101,,Arsenic,Heavy Metals & Trace Element Contaminants,Chemical,OT,
CH0102,,Cadmium,Heavy Metals & Trace Element Contaminants,Chemical,OT,
CH0103,,Lead,Heavy Metals & Trace Element Contaminants,Chemical,OT,
CH0104,,Mercury,Heavy Metals & Trace Element Contaminants,Chemical,OT,
CH0105,,Fluoride & Iodine/Iodide Excess or Inadequate Intake,Heavy Metals & Trace Element Contaminants,Chemical,OT,
CH0201,,Aflatoxins,Carcinogens,Chemical,OT,
CH0202,,Asbestos,Carcinogens,Chemical,OT,
CH0203,,Benzene & Hydrocarbons,Carcinogens,Chemical,AC,tec-ind-oil-oil
CH0203,,Benzene & Hydrocarbons,Carcinogens,Chemical,OT,
CH0300,,Toxic Gases,Toxic Gases,Chemical,OT,
CH0301,,Ammonia,Toxic Gases,Chemical,OT,
CH0302,,Carbon Monoxide,Toxic Gases,Chemical,OT,
CH0303,,Chlorine,Toxic Gases,Chemical,OT,
CH0400,,Asphyxiant Gases,Asphyxiant Gases,Chemical,OT,
CH0500,,Persistent Organic Pollutants,Persistent Organic Pollutants,Chemical,OT,
CH0501,,Pesticides,Persistent Organic Pollutants,Chemical,OT,
CH0502,,Dioxins & Dioxin-like Substance,Persistent Organic Pollutants,Chemical,OT,
CH0503,,Polyfluoroalkyl Substances,Persistent Organic Pollutants,Chemical,OT,
CH0504,,Microplastics,Persistent Organic Pollutants,Chemical,OT,
CH0601,,Levels of Contaminants in Food & Feed,Chemical Hazards in Food and Pharmaceuticals,Chemical,OT,
CH0602,,Substandard & Falsified Medical Products,Chemical Hazards in Food and Pharmaceuticals,Chemical,AC,tec-ind-poi-poi
CH0602,,Substandard & Falsified Medical Products,Chemical Hazards in Food and Pharmaceuticals,Chemical,OT,
CH0603,,Methanol,Chemical Hazards in Food and Pharmaceuticals,Chemical,OT,
CH0604,,Opioids & Other Addictive Substances,Chemical Hazards in Food and Pharmaceuticals,Chemical,OT,
CH0605,,Marine Toxins,Chemical Hazards in Food and Pharmaceuticals,Chemical,OT,
CH0901,,Corrosive Substances,Other Chemical Hazards,Chemical,OT,
CH0902,,Ammonium Nitrate,Other Chemical Hazards,Chemical,OT,
CH0903,,Chemical Warfare Agents,Other Chemical Hazards,Chemical,OT,
BI0101,,Airborne Diseases (human and Animal),Infectious Diseases,Biological,EP,nat-bio-epi-vir
BI0101,,Airborne Diseases (human and Animal),Infectious Diseases,Biological,EP,nat-bio-epi-bac
BI0101,,Airborne Diseases (human and Animal),Infectious Diseases,Biological,EP,nat-bio-epi-fun
BI0101,,Airborne Diseases (human and Animal),Infectious Diseases,Biological,EP,nat-bio-epi-dis
BI0102,,Blood Borne Viruses (Human and Animal),Infectious Diseases,Biological,OT,
BI0103,,Diarrhoeal Diseases (Human),Infectious Diseases,Biological,OT,
BI0104,,Foodborne Diseases (Human impact),Infectious Diseases,Biological,OT,
BI0105,,Neglected Tropical Diseases (Human),Infectious Diseases,Biological,EP,nat-bio-epi-par
BI0105,,Neglected Tropical Diseases (Human),Infectious Diseases,Biological,OT,
BI0106,,Sexually Transmitted Diseases (Human),Infectious Diseases,Biological,OT,
BI0107,,Vaccine-Preventable Diseases (Human),Infectious Diseases,Biological,OT,
BI0108,,Vector Borne Diseases (VBD) (Human and Animal),Infectious Diseases,Biological,OT,
BI0109,,Viral Haemorrhagic Fevers (Human),Infectious Diseases,Biological,OT,
BI0110,,Waterborne Diseases (Human),Infectious Diseases,Biological,OT,
BI0111,,Cryptosporidium (Human and Animal),Infectious Diseases,Biological,OT,
BI0112,,Cysticercosis (Human and Animal),Infectious Diseases,Biological,OT,
BI0113,,Zoonotic Diseases,Infectious Diseases,Biological,OT,
BI0201,,Anthrax,Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0202,,Brucellosis (Human and Animal),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0203,,Chikungunya,Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0204,,Cholera (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0205,,COVID-19 (SARS-CoV-2) (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0206,,Crimean-Congo Haemorrhagic Fever (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0207,,Dengue (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0208,,Diphtheria (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0209,,Ebola (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0210,,Escherichia Coli (STEC) (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0211,,Hepatitis A (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0212,,Hepatitis B (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0213,,Hepatitis C (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0214,,HIV and AIDS (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0215,,Lassa Fever (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0216,,Leprosy (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0217,,Leptospirosis (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0218,,Listeriosis (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0219,,Malaria (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0220,,Marburg Virus,Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0221,,Measles (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0222,,Meningococcal Meningitis (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0223,,Middle East Respiratory Syndrome (MERS) (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0224,,Mpox (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0225,,Paratyphoid Fever (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0226,,Typhoid Fever (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0227,,Pertussis (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0228,,Plague (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0229,,Polio (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0230,,Prion Diseases,Specific Infectious Disease of Public Health Concern,Biological,EP,nat-bio-epi-pri
BI0230,,Prion Diseases,Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0231,,Q Fever,Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0232,,Rabies (Animal and Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0233,,Rotavirus (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0234,,Shigellosis (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0235,,Smallpox (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0236,,Severe Acute Respiratory Syndrome (SARS) (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0237,,Tuberculosis (Human and Animal),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0238,,Trypanosomiasis & Tripanomosis (Human and Animal),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0239,,Varicella and Herpes Zoster (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0240,,West Nile Fever (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0241,,Yellow Fever (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0242,,Zika Virus (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0243,,Seasonal Influenza (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0244,,Pandemic Influenza (Human),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0245,,Avian Influenza (Human and Animal),Specific Infectious Disease of Public Health Concern,Biological,OT,
BI0301,,Animal Diseases (Not Zoonoses),Animal Infectious Diseases,Biological,OT,
BI0302,,African Swine Fever (Animal),Animal Infectious Diseases,Biological,OT,
BI0303,,Classical Swine Fever (Animal),Animal Infectious Diseases,Biological,OT,
BI0304,,Contagious Bovine Pleuropneumonia (CBPP) (Animal),Animal Infectious Diseases,Biological,OT,
BI0305,,Contagious Caprine Pleuropneumonia (CCPP) (Animal),Animal Infectious Diseases,Biological,OT,
BI0306,,Foot and Mouth Disease Virus (Animal),Animal Infectious Diseases,Biological,OT,
BI0307,,Lumpy Skin Disease (Animal),Animal Infectious Diseases,Biological,OT,
BI0308,,Newcastle Disease (Animal),Animal Infectious Diseases,Biological,OT,
BI0309,,New World Screwworm (NWS) (Animal),Animal Infectious Diseases,Biological,OT,
BI0310,,Peste des Petits Ruminants (Animal),Animal Infectious Diseases,Biological,OT,
BI0311,,Rift Valley Fever (Animal),Animal Infectious Diseases,Biological,,
BI0312,,Rinderpest (Animal),Animal Infectious Diseases,Biological,,
BI0313,,Oyster Disease Aquaculture,Animal Infectious Diseases,Biological,,
BI0314,,Shrimp Diseases (Bacterial) - Acute Hepatic Pancreatic Necrosis,Animal Infectious Diseases,Biological,,
BI0401,,Insect Pest Infestations,Insect-related Diseases,Biological,IN,nat-bio-inf-loc
BI0401,,Insect Pest Infestations,Insect-related Diseases,Biological,IN,nat-bio-inf-gra
BI0401,,Insect Pest Infestations,Insect-related Diseases,Biological,IN,nat-bio-inf-wor
BI0401,,Insect Pest Infestations,Insect-related Diseases,Biological,IN,nat-bio-inf-inf
BI0401,,Insect Pest Infestations,Insect-related Diseases,Biological,OT,
BI0402,,Locust,Insect-related Diseases,Biological,IN,nat-bio-inf-loc
BI0402,,Locust,Insect-related Diseases,Biological,OT,
BI0403,,Invasive weed/species,Insect-related Diseases,Biological,OT,
BI0501,,Bacterial Plant Disease,Plant Diseases,Biological,OT,
BI0502,,Fungal Plant Disease,Plant Diseases,Biological,OT,
BI0503,,"Viral, Phytoplasma and Viroid Plant Disease Outbreaks",Plant Diseases,Biological,OT,
BI0601,,Antimicrobial Resistance,Other Biological Hazards,Biological,OT,
BI0602,,Biological Agents CBRNE,Other Biological Hazards,Biological,OT,
BI0603,,Harmful Algal Blooms,Other Biological Hazards,Biological,OT,
BI0604,,Human-Wildlife Conflict,Other Biological Hazards,Biological,OT,
BI0605,,Snakebite Envenoming,Other Biological Hazards,Biological,OT,
TL0101,,Malware,Cyberhazards,Technological,,
TL0102,,Data Breach,Cyberhazards,Technological,,
TL0103,,Advanced Persistent Threat,Cyberhazards,Technological,,
TL0104,,Denial of Service,Cyberhazards,Technological,,
TL0105,,Supply Chain Attack,Cyberhazards,Technological,,
TL0106,,Cyberbullying,Cyberhazards,Technological,,
TL0107,,Social Engineering,Cyberhazards,Technological,,
TL0201,,Building Collapse,Construction / Structural Failure,Technological,AC,tec-mis-col-col
TL0202,,"Building, Highrise, Cladding",Construction / Structural Failure,Technological,OT,
TL0203,,Structural Failure,Construction / Structural Failure,Technological,OT,
TL0204,,Bridge Failure,Construction / Structural Failure,Technological,OT,
TL0205,,Dam Failure,Construction / Structural Failure,Technological,FL,tec-mis-col-col
TL0206,,Supply Chain Failure,Construction / Structural Failure,Technological,OT,
TL0207,,Critical Infrastructure Failure,Construction / Structural Failure,Technological,OT,
TL0208,,Nuclear Plant Failure,Construction / Structural Failure,Technological,OT,
TL0209,,Power Outage / Blackout,Construction / Structural Failure,Technological,OT,
TL0210,,Water Supply Failure,Construction / Structural Failure,Technological,OT,
TL0211,,Emergency Telecommunication Failure,Construction / Structural Failure,Technological,OT,
TL0212,,Radio and other Telecommunication Failures,Construction / Structural Failure,Technological,OT,
TL0213,,Tunnel Failure,Construction / Structural Failure,Technological,,
TL0214,,Drain and Sewer Flooding,Construction / Structural Failure,Technological,OT,
TL0215,,Reservoir Flooding,Construction / Structural Failure,Technological,OT,
TL0301,,Leaks and Spills,Industrial Failure,Technological,AC,tec-ind-che-che
TL0301,,Leaks and Spills,Industrial Failure,Technological,AC,tec-ind-gas-gas
TL0302,,Pollution,Industrial Failure,Technological,OT,
TL0303,,Soil Pollution,Industrial Failure,Technological,OT,
TL0304,,Explosion,Industrial Failure,Technological,AC,tec-ind-exp-exp
TL0305,,Fire,Industrial Failure,Technological,FR,tec-ind-fir-fir
TL0305,,Fire,Industrial Failure,Technological,FR,tec-mis-fir-fir
TL0306,,Explosive Agents,Industrial Failure,Technological,OT,
TL0307,,Mining Hazards,Industrial Failure,Technological,OT,
TL0308,,Safety Hazards Associated with Oil and Gas Extraction Activities,Industrial Failure,Technological,OT,
TL0309,,Natech,Industrial Failure,Technological,AC,tec-ind-ind-ind
TL0401,,Air Transportation Accident,Transportation Accidents,Technological,AC,tec-tra-air-air
TL0402,,Inland Water Way Accidents,Transportation Accidents,Technological,OT,
TL0403,,Maritime Accident,Transportation Accidents,Technological,AC,tec-tra-wat-wat
TL0404,,Rail Accident,Transportation Accidents,Technological,AC,tec-tra-rai-rai
TL0405,,Road Traffic Accident,Transportation Accidents,Technological,AC,tec-tra-roa-roa
TL0501,,Disaster & Conflict Waste,Waste,Technological,OT,
TL0502,,Solid Waste,Waste,Technological,OT,
TL0503,,Wastewater,Waste,Technological,OT,
TL0504,,Hazardous Waste,Waste,Technological,OT,
TL0505,,Plastic Waste,Waste,Technological,OT,
TL0506,,Marine Debris,Waste,Technological,OT,
TL0507,,Electronic Waste (E-Waste),Waste,Technological,OT,
TL0508,,Health-care Waste,Waste,Technological,OT,
TL0509,,Landfilling,Waste,Technological,OT,
TL0510,,Waste Treatment Lagoons,Waste,Technological,OT,
TL0511,,Tailings,Waste,Technological,OT,
TL0601,,Radioactive Waste,Radiation,Technological,AC,tec-ind-rad-rad
TL0602,,Radioactive Agents & Material,Radiation,Technological,OT,
TL0603,,Nuclear Agents,Radiation,Technological,OT,
SO0101,,International Armed Conflict (IAC),Conflict,Societal,CE,
SO0102,,Non-International Armed Conflict (NIAC),Conflict,Societal,CE,
SO0103,,Civil Unrest,Conflict,Societal,CE,
SO0201,,Explosive Ordnance,Post-conflict,Societal,CE,
SO0202,,Environmental Degradation from Conflict,Post-conflict,Societal,CE,
SO0301,,Violence,Behavioural,Societal,OT,
SO0302,,Stampede or Crushing (Human),Behavioural,Societal,OT,
SO0303,,Suicide Cluster,Behavioural,Societal,,
SO0401,,Financial Shock,Economic,Societal,OT,
